state,state_code,place_name,category,description,timings,entry_fee,best_time,nearest_railway,nearest_bus,nearest_airport,metro_station,accessibility,guided_tours,parking,nearby_amenities,official_website,wikipedia,special_notes,source_file
Andhra Pradesh,AP,Gandikota,Gorge / Fort / Historical Landmark,nan,nan,Free,October – March,Jammalamadugu Railway Station (~18 km),Gandikota Bus Stand (~1 km),"Kadapa Airport (~90 km), Bengaluru (~250 km)",nan,Fort accessible by foot; gorge viewpoints require walking,Local guides available,Large open area for parking,"AP Tourism Haritha resort, eateries, camping",AP Tourism – Gandikota,nan,Known as Grand Canyon of India; popular for camping and stargazing,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Konda Reddy Fort,Historical Fort / Monument,nan,nan,₹10 approx,November – February,Kurnool City Railway Station (~2 km),Kurnool Bus Stand (~1 km),Orvakal Airport (~18 km),nan,Steps and uneven surfaces; not wheelchair friendly,Local guides available,Available near entrance,"Local eateries, shops, restrooms",AP Tourism – Konda Reddy Fort,nan,Built by Vijayanagara rulers; named after Konda Reddy,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Gooty Fort,Hill Fort / Historical Landmark,nan,nan,Free,October – February,Gooty Railway Station (~2 km),Gooty Bus Stand (~2 km),Bengaluru International Airport (~250 km),nan,Trek up hill needed; not wheelchair accessible,Rare local guides,At base of fort,"Small shops, tea stalls",ASI – Protected Monuments,nan,Known as Rachakonda Fort; mix of Vijayanagara and Islamic architecture,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Kanaka Durga Temple,Temple / Pilgrimage Site,nan,nan,Free; special darshan ₹100–500,Navaratri (Sept–Oct),Vijayawada Junction (~2 km),Pandit Nehru Bus Station (~3 km),Vijayawada International Airport (~22 km),nan,Wheelchair assistance available,No formal guides,Available near temple ghat road,"Lodges, hotels, vegetarian restaurants",https://kanakadurgamma.org,nan,One of the Shakti Peethas; on Indrakeeladri Hill,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Undavalli Caves,Rock-Cut Cave Temples / Historical Monument,nan,nan,"Adults ₹25, Children ₹10; foreign nationals ₹300",November – February,Vijayawada Junction (~6 km),Vijayawada PNBS (~7 km),Vijayawada Airport (~25 km),nan,Steps at entrance; not fully wheelchair accessible,"Available (Telugu, Hindi, English)",Available near entrance,"Food stalls, restrooms",AP Tourism – Undavalli Caves,nan,4th–5th century caves; monolithic Vishnu statue,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Prakasam Barrage,Engineering Marvel / River Barrage,nan,nan,Free,Evening/night,Vijayawada Junction (~3 km),PNBS Vijayawada (~2 km),Vijayawada Airport (~22 km),nan,Road bridge accessible by vehicles and pedestrians,Not needed,Limited roadside parking,"Restaurants, hotels, cafes",Prakasam Barrage Info,nan,Built across Krishna River; iconic symbol of Vijayawada,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Sir Arthur Cotton Museum,Museum,nan,nan,"₹10 (adults), ₹5 (children)",October – March,Rajahmundry Railway Station (~3 km),APSRTC Bus Complex (~2 km),Rajahmundry Airport (~15 km),nan,Wheelchair accessible,Available (Telugu & English),Available near museum,"Restrooms, shops, food outlets",AP Tourism – Sir Arthur Cotton Museum,nan,Exhibits on Godavari Barrage and irrigation works,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Godavari Bridge(s),Engineering Marvel / Road-Rail Bridges,nan,nan,Free,Sunset/evening,Rajahmundry Railway Station (~2 km),Rajahmundry APSRTC Bus Complex (~2 km),Rajahmundry Airport (~15 km),nan,Public road/rail bridges accessible,Not applicable,Available at riverfront areas,"Riverfront parks, eateries, shopping",Rajahmundry Tourism Info,nan,Three major bridges; popular for photography and boat rides,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Draksharamam Temple,Hindu Temple (Pancharama Kshetram),nan,nan,Free; special darshan ₹50–100,"Maha Shivaratri festival, winter months",Samalkot Junction (~15 km),Kakinada RTC Bus Stand (~25 km),Rajahmundry Airport (~65 km),nan,Limited wheelchair assistance,Priests provide explanations,Free parking nearby,"Lodges, prasadam counters, small restaurants",https://draksharamam.org,nan,Built by Eastern Chalukyas; part of Pancharama temples,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Srisailam,Pilgrimage (Jyotirlinga Temple) + Wildlife Sanctuary,nan,nan,Free; special darshan ₹100–500,October–March,"Markapur Road (~85 km), Kurnool (~180 km)",Srisailam RTC Bus Stand (~1 km),"Rajiv Gandhi International Airport, Hyderabad (~200 km)",nan,Wheelchair assistance available; steep ghat roads,Priests & local guides,Paid parking near temple,"Guesthouses, AP Tourism cottages, restaurants",https://srisailamonline.com,nan,One of 12 Jyotirlingas; inside tiger reserve,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Mantralayam,Pilgrimage Town (Raghavendra Swamy Mutt),nan,nan,Free,October–March,Mantralayam Road (~4 km),APSRTC Bus Stand (~1 km),"Hyderabad (~250 km), Bellary (~100 km)",nan,Wheelchair-friendly mutt premises,Priests provide guidance,Available near mutt & temple,"Guesthouses, vegetarian restaurants",https://srsmatha.org,nan,Famous for samadhi of Sri Raghavendra Swamy,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Papikondalu,Natural River Gorge / Scenic Boat Cruise,nan,nan,"₹800–₹1,200 per person (boat package)",October–February,Rajahmundry Railway Station (~60 km to boat point),Rajahmundry RTC Bus Stand (~60 km),Rajahmundry Airport (~70 km),nan,Limited wheelchair facilities on boats,Yes (Telugu/English),Available at boarding points,Food included on boat trips; lodges in Rajahmundry,AP Tourism – Papikondalu,nan,Breathtaking Godavari gorge; mini Amazon experience,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Maredumilli,"Eco-Tourism Destination (Forests, Waterfalls, Tribal Culture)",nan,nan,₹50–₹100 for eco-tourism spots,July – December,Rajahmundry Railway Station (~85 km),Maredumilli Bus Stand (~1 km),Rajahmundry Airport (~90 km),nan,"Roads accessible, but trails and waterfalls not wheelchair-friendly",Local tribal eco-guides available,Available at eco-tourism centers and waterfalls,"AP Tourism Haritha resort, tribal dhabas, famous bamboo chicken stalls, small shops",AP Tourism – Maredumilli,nan,"Known as “Ooty of Andhra”, famous for bamboo chicken",andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Tirupati,Pilgrimage (Tirumala Venkateswara Temple) / Spiritual / Hill Station,nan,nan,"Free; special darshan ₹300, Seva tickets higher",September – February,Tirupati Railway Station (~2 km),Tirupati Central Bus Station (~1 km),Tirupati International Airport (~15 km),nan,Wheelchair assistance available on hill,Available from private agencies,Extensive parking on Tirumala hill,"Tons of accommodation, restaurants, shops, TTD services",https://tirumala.org,nan,One of the most visited pilgrimage sites in the world,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Talakona Waterfalls,Waterfalls / Nature / Religious Site,nan,nan,₹10–₹20 per person,September – January,Tirupati Railway Station (~50 km),Talakona Bus Stop (~1 km),Tirupati Airport (~65 km),nan,"Uneven terrain, steps; not wheelchair accessible",Local guides available,Available near entrance,"Restrooms, small tea stalls, temple",AP Forest Dept,nan,Highest waterfall in Andhra Pradesh; located in Sri Venkateswara National Park,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Pulicat Lake,Brackish Water Lake / Bird Sanctuary,nan,nan,Free; boat rides extra,October – March (migratory birds),Sullurpeta Railway Station (~15 km),Sullurpeta Bus Stand (~15 km),Chennai International Airport (~80 km),nan,Boats are main mode of transport; not wheelchair-friendly,Local boatmen act as guides,Available at fishing villages,"Basic food stalls, small guest houses",AP Forest Dept – Pulicat Lake,nan,Second largest brackish water lagoon in India; famous for flamingos,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Horseley Hills,Hill Station / Scenic Viewpoint,nan,nan,Free (some attractions may charge),December – March,Madanapalle Road Railway Station (~28 km),Madanapalle Bus Stand (~25 km),"Tirupati Airport (~150 km), Bengaluru Airport (~165 km)",nan,Accessible by car; some viewpoints require walking,Local guides available,Available at viewpoints and resorts,"AP Tourism Haritha Hotel, restaurants, tourist attractions",AP Tourism – Horseley Hills,nan,A quaint hill station; known for its pleasant weather,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Lambasingi,Hill Station / Nature / Scenic Village,nan,nan,Free,November – February (for cold weather/mist),Chintapalle Railway Station (~20 km),Lambasingi Bus Stand (~1 km),Visakhapatnam Airport (~100 km),nan,Hilly roads; not suitable for wheelchair-bound travelers,Local guides for trekking,Limited parking available,"Homestays, small eateries, coffee plantations",AP Tourism – Lambasingi,nan,Called 'Kashmir of Andhra Pradesh' due to its occasional sub-zero temperatures,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Kambalakonda Wildlife Sanctuary,Wildlife Sanctuary / Eco-Park,nan,nan,"₹20 (adults), ₹10 (children)",October – March,Visakhapatnam Railway Station (~10 km),Visakhapatnam RTC Complex (~10 km),Visakhapatnam Airport (~15 km),nan,Walking trails; not wheelchair-friendly,Eco-guides available,Available at entrance,"Restrooms, canteen, watchtowers",AP Forest Dept,nan,Located near Visakhapatnam; a good day trip for nature lovers,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Thotlakonda & Bavikonda,Buddhist Sites / Historical Ruins,nan,nan,Free,October – March,Visakhapatnam Railway Station (~15 km),Visakhapatnam RTC Complex (~15 km),Visakhapatnam Airport (~10 km),nan,Relatively accessible; some walking on uneven ground,Available from local guides,Available on site,"Restrooms, small shops",AP Tourism,nan,Ancient Buddhist sites overlooking the Bay of Bengal,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Rampa Waterfalls,Waterfalls / Nature,nan,nan,₹10–₹20 per person,September – November (post-monsoon),Rajahmundry Railway Station (~70 km),Maredumilli Bus Stand (~35 km),Rajahmundry Airport (~80 km),nan,Requires a short trek; not wheelchair-friendly,Local guides available,Available near the trail head,Basic food stalls,AP Tourism,nan,A beautiful waterfall in a secluded location; less crowded,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Kondapalli Fort,Historical Fort / Handicrafts,nan,nan,"₹10 (adults), ₹5 (children)",October – March,Kondapalli Railway Station (~3 km),Kondapalli Bus Stand (~2 km),Vijayawada Airport (~25 km),nan,Steps and uneven terrain; not wheelchair-friendly,Local guides available,Available at the base of the fort,"Kondapalli toy shops, small eateries",AP Tourism – Kondapalli Fort,nan,Famous for Kondapalli toys made from lightwood,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Ethipothala Waterfalls,Waterfalls / Nature,nan,nan,₹20 (adults),July – January (monsoon and post-monsoon),Macherla Railway Station (~11 km),Macherla Bus Stand (~11 km),Vijayawada Airport (~160 km),nan,"Viewpoint is accessible, but to go to the base is difficult",Not applicable,Available near the viewpoint,"Crocodile breeding center, small eateries",AP Tourism,nan,A stunning 70-foot waterfall formed by the Chandravanka River,andhra_pradesh_tourist_places.csv
Arunachal Pradesh,AR,Tawang Monastery,Buddhist Monastery / Cultural Heritage Site,nan,Generally daylight visiting hours,Free (donations welcome),April–October,Bhalukpong / Rangapara North / Tezpur (Assam) — approx. 270–330 km,Tawang Bus Stand,Tezpur (Salonibari) ~330 km / Guwahati ~480 km,No metro available,Mountain roads; not wheelchair-friendly,Local guides available,Limited roadside parking,"Hotels, guesthouses, restaurants, souvenir shops in Tawang town",,https://en.wikipedia.org/wiki/Tawang_Monastery,One of the largest Tibetan Buddhist monasteries in India; major seat of Mahayana Buddhism,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Sela Pass & Sela Lake (Sela Tso),High-Altitude Mountain Pass / Scenic Lake,nan,Accessible in daytime; often blocked in winter,Not documented (ILP required for Arunachal entry),April–October,Tezpur / Rangapara North — 300–360 km,Tawang / Bomdila bus stands,Tezpur ~330 km / Guwahati ~480 km,No metro available,"High-altitude pass (13,700 ft); steep, winding roads",Local drivers/guides from Tawang and Bomdila,Small roadside parking near viewpoints,Minimal facilities; better hotels and restaurants in Tawang & Bomdila,,https://en.wikipedia.org/wiki/Sela_Pass,Sacred to Buddhists; famous turquoise Sela Lake; strategic military post nearby,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Nuranang Falls (Jang Falls / Bong Bong Falls),Waterfall / Natural Attraction,nan,Daytime access (sunrise–sunset),Free,May–October,Rangapara North / Tezpur / Naharlagun — 240–360 km,Jang town (2 km from falls),Tezpur ~330 km / Guwahati ~480 km,No metro available,Motoring road up to viewing area; short walk to base,Local guides sometimes available,Roadside parking available,Small shops and tea stalls in Jang; hotels & restaurants in Tawang,,https://en.wikipedia.org/wiki/Nuranang_Falls,"Filming location of Bollywood song “Tanhai Tanhai” (Koyla); pristine, less crowded waterfall",Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Bomdila Monastery,Buddhist Monastery / Cultural Heritage,nan,9:00 am – 6:00 pm,Free,March–October,Tezpur / Rangapara North — ~150 km,Bomdila Bus Stand (within town),Tezpur (Salonibari) ~150 km / Guwahati ~330 km,No metro available,Hill town; road access from Tezpur/Guwahati,Local guides available in Bomdila,Available near monastery,"Hotels, homestays, cafes, and shops in Bomdila town",,https://en.wikipedia.org/wiki/Bomdila_Monastery,Known as “Gentse Gaden Rabgyel Lling” monastery; center for Lamaistic studies,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Dirang Valley,Valley / Scenic Town / Cultural Stopover,nan,Open all day,Not applicable,March–May & September–November,Tezpur / Rangapara North — ~190 km,Dirang Bus Stop (within town),Tezpur ~190 km / Guwahati ~350 km,No metro available,Good mountain road; motorable throughout,Local homestays often arrange guides,Available in town,"Resorts, homestays, local eateries, hot springs, shops",,https://en.wikipedia.org/wiki/Dirang,"Famous for hot water springs, apple orchards, kiwi farms",Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Ziro Valley,Valley / Cultural & Eco-Tourism Destination,nan,Open all day,Not applicable,September & March–November,Naharlagun (Itanagar) — ~100 km,Ziro Bus Stand,Lilabari Airport (Assam) ~130 km / Donyi Polo Airport ~120 km,No metro available,Roads motorable but winding,"Available — local Apatani guides, cultural village walks",Available in town,"Resorts, homestays, restaurants, cafes, music festival grounds, shops",,https://en.wikipedia.org/wiki/Ziro_Valley,"UNESCO Tentative World Heritage Site; famous for Apatani tribal culture, paddy–fish farming",Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Namdapha National Park,National Park / Wildlife Sanctuary / Tiger Reserve,nan,8:00 am – 5:00 pm,Indian Nationals ₹50; Foreign Nationals ₹350,October–April,Tinsukia (Assam) ~140 km,Miao Bus Stand ~26 km,Dibrugarh Airport (Assam) ~180 km,No metro available,Forest entry by road; treks inside range from easy to difficult,Mandatory entry with permits; forest guides & guards available,Available near Miao gate,"Forest rest houses, basic lodges, small eateries at Miao town",https://www.namdaphanationalpark.com/,https://en.wikipedia.org/wiki/Namdapha_National_Park,Fourth-largest national park in India; only park with four big cats,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Itanagar Gompa (Buddhist Temple),Buddhist Temple / Cultural Landmark,nan,7:00 am – 6:00 pm,Free,Year-round; pleasant from October–April,Naharlagun ~15 km,Itanagar Bus Station (within city),Donyi Polo Airport (Hollongi) ~25 km,No metro available,Within city; short climb uphill (stairs),Local city guides available,Available near temple gate,"Hotels, cafes, restaurants in Itanagar",,https://en.wikipedia.org/wiki/Itanagar,Yellow-roofed Buddhist Gompa; panoramic city views,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Pasighat,Town / River Valley / Eco-Tourism Destination,nan,Open all day,Not applicable,October–April,Murkongselek (Assam) ~35 km,Pasighat Bus Stand (within town),Pasighat Airport (domestic) ~5 km; Dibrugarh (major airport) ~150 km,No metro available,Well connected by road from Dibrugarh and Itanagar,"Local guides for rafting, angling, village tours available",Available in town,"Hotels, eco-resorts, markets, restaurants, river camps",,https://en.wikipedia.org/wiki/Pasighat,Known as the “Gateway to Arunachal”; rafting hotspot,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Mechuka Valley (Menchukha),Valley / Eco-Tourism / Adventure Destination,nan,Open all day,Not applicable (ILP required for Arunachal entry),October–March,Silapathar (Assam) ~400 km,Aalo (Along) Bus Stand ~180 km,Dibrugarh (Assam) ~450 km,No metro available,Remote mountain roads; difficult but scenic drive,Local homestays & tourism dept. provide guides,Available near villages & homestays,"Homestays, guesthouses, small eateries; limited shops",,https://en.wikipedia.org/wiki/Mechuka,"Known for ancient Samten Yongcha Monastery, wooden hanging bridges",Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Roing,Hill Town / Cultural & Natural Destination,nan,Open all day,Not applicable,October–April,Tinsukia (Assam) ~150 km,Roing Bus Stand (within town),Dibrugarh (Assam) ~160 km,No metro available,Good road via Assam,Local guides available for Mayodia Pass treks & tribal villages,Available in town,"Hotels, lodges, homestays, small restaurants",,https://en.wikipedia.org/wiki/Roing,"Gateway to Mayodia Pass, Mehao Wildlife Sanctuary",Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Daporijo,River Valley Town / Tribal Culture Destination,nan,Open all day,Not applicable,October–April,Silapathar (Assam) ~120 km,Daporijo Bus Stand (within town),Lilabari (Assam) ~150 km,No metro available,Mountain roads; long winding routes,"Available — local guides for trekking, tribal village tours",Available in town,"Basic hotels, shops, local eateries",,https://en.wikipedia.org/wiki/Daporijo,"Known for bamboo suspension bridges, tribal culture of Tagin & Hill Miri tribes",Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Sangti Valley,Valley / Eco-Tourism / Birdwatching Destination,nan,Open all day,Not applicable,November–March,Tezpur ~190 km,Dirang Bus Stop ~15 km,Tezpur ~190 km / Guwahati ~350 km,No metro available,Road from Dirang; motorable,Local birdwatching and trekking guides available,Available near villages,"Homestays, eco-resorts, local restaurants",,https://en.wikipedia.org/wiki/Sangti_Valley,"Famous for black-necked cranes (migratory birds), apple & kiwi orchards",Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Parshuram Kund,Pilgrimage Site / Riverbank Religious Destination,nan,Open all year; peak during Makar Sankranti (Jan),Free (donations welcome),January; otherwise October–March,Tinsukia (Assam) ~120 km,Tezu Bus Stand ~21 km,Dibrugarh (Assam) ~180 km / Tezu Airport ~20 km,No metro available,Road motorable up to kund; steps down to river,Pilgrimage organizers & local guides available,Available near kund,"Guesthouses in Tezu, small stalls near kund",,https://en.wikipedia.org/wiki/Parshuram_Kund,Sacred Hindu pilgrimage; lakhs of devotees take a holy dip every January,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Pangsau Pass & Lake of No Return,Border Pass / Historical & Scenic Destination,nan,Daylight hours,Free (ILP required; special permits for border fair),January (Pangsau Pass Winter Festival),Tinsukia (Assam) ~140 km,Nampong Bus Stand ~12 km,Dibrugarh (Assam) ~180 km,No metro available,Hill roads from Nampong; motorable but steep and winding,Available via tourism dept. during festival; local guides for WWII trail tours,Limited roadside parking,Homestays & small eateries at Nampong,,https://en.wikipedia.org/wiki/Pangsau_Pass,Famous for WWII history (Stilwell Road); Lake of No Return associated with legends,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Mayodia Pass,Mountain Pass / Scenic Drive / Snow Destination,nan,Open all day (seasonal closures in heavy snow),Free,December–March & October–April,Tinsukia (Assam) ~150 km,Roing Bus Stand ~56 km,Dibrugarh (Assam) ~160 km,No metro available,"Motorabale by road (NH13), winding roads with hairpin bends",Local guides from Roing available for snow treks,Roadside parking available,Rest houses in Roing; tea stalls on route,,https://en.wikipedia.org/wiki/Mayodia_Pass,Famous for snow in winter; scenic views of Dibang Valley,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Aalo (Along),Town / Cultural & Natural Destination,nan,Open all day,Not applicable,October–April,Silapathar (Assam) ~150 km,Aalo Bus Stand (within town),Dibrugarh (Assam) ~300 km,No metro available,Connected by road from Pasighat & Likabali,Available — local guides for tribal village tours,Available in town,"Hotels, homestays, markets, eateries",,https://en.wikipedia.org/wiki/Aalo,Known for hanging bridges made of bamboo and cane,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Dambuk (Orange Festival of Adventure & Music),Festival Destination / Music & Adventure Tourism,nan,Annual (December) — 4-day festival,₹1000–₹2000 (varies by day/pass),December (during festival dates),Tinsukia (Assam) ~120 km,Roing Bus Stand ~30 km,Dibrugarh (Assam) ~150 km,No metro available,Motorabale roads; last stretch slightly rough,Festival packages & local guides available,Designated festival parking,"Festival camps, homestays, food stalls, adventure activity zones",https://www.orangefestival.in/,,Combines adventure sports with indie/rock music; promotes local oranges & tribal culture,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Golden Pagoda (Kongmu Kham),Buddhist Temple / Cultural Landmark,nan,8:00 am – 6:00 pm,Free,October–March,Tinsukia (Assam) ~60 km,Namsai Bus Stand ~10 km,Dibrugarh (Assam) ~80 km,No metro available,Easily accessible by road; temple complex wheelchair-friendly in many parts,Available via local tourism offices,Large parking area,"Hotels in Namsai, restaurants, meditation centers",,"https://en.wikipedia.org/wiki/Golden_Pagoda,_Namsai",A Burmese-style temple built in 2010; important Theravada Buddhist pilgrimage,Arunachal Pradesh_tourist.csv
