Name of Place,Type,Official Website,Wikipedia,Nearest Railway Station,Nearest Bus Stand,Nearest Metro Station,Nearest Airport,Timings,Entry Fee,Best Time to Visit,Accessibility,Guided Tours,Parking,Nearby Amenities,Special Notes
Kiltan Island,Coral Island / Beach / Historic Trade Hub,Not documented,https://en.wikipedia.org/wiki/Kiltan,None; Kochi on mainland (~400 km + transfer),Not applicable,No metro available,Agatti Airport (~60 km by boat),"Accessible during daytime, subject to sea conditions",Entry permit required (Not documented),October – April,Inter-island boats/ships; narrow village roads,Local guides available for cultural tours,Small parking near jetty,"Guesthouses, local eateries, shops",Famous for old Arab trade links; rich folklore & unique culture.
Suheli Par,Uninhabited Atoll / Diving Spot / Eco-Tourism,Not documented,https://en.wikipedia.org/wiki/Suheli_Par,None; Kochi on mainland (~400 km + sea transfer),Not applicable,No metro available,Agatti Airport (~100 km by boat),Day trips only; weather-dependent,Permit & package tour fee (Not documented),"November – March (calm sea, clear waters)",Boat trips from Kavaratti/Agatti,Diving & fishing expeditions organized,Not applicable,None — carry essentials,"Known for manta rays, tuna fish, and pristine lagoons; restricted for conservation."
"Minicoy Lighthouse, Minicoy Island",Historic Lighthouse / Viewpoint,https://lakshadweep.gov.in/islands/minicoy/,https://en.wikipedia.org/wiki/Minicoy_lighthouse,None; Kochi (~400 km + ship/flight transfer),Not applicable,No metro available,"Agatti Airport (~400 km, then ship to Minicoy)",8:00 AM – 6:00 PM,Included in island permit (Not documented),October – May,Within Minicoy island; easily reachable by cycle or scooter,Available with local packages,Near lighthouse grounds,"Restaurants, guesthouses, local shops",Built in 1885 by British; 300 ft tall; panoramic views of Arabian Sea.
Bangaram Island,Beach / Luxury Island Resort / Scuba Diving Destination,https://lakshadweep.gov.in/islands/bangaram/,https://en.wikipedia.org/wiki/Bangaram_Atoll,None; Kochi on mainland (~400 km + transfer),Not applicable,No metro available,Agatti Airport (8 km boat ride),"Accessible year-round, resort timings flexible",Permit & resort booking required (charges vary),October – March,Short boat ride from Agatti,"Yes — diving, snorkeling, turtle & dolphin watching",Limited at jetty,"Luxury resort, restaurant, dive centres",Popular honeymoon destination; one of the few islands where alcohol is permitted.
Andrott Island,Largest Island / Cultural & Religious Centre / Beaches,Not documented,https://en.wikipedia.org/wiki/Andrott,None; Kochi (~300 km + sea transfer),Not applicable,No metro available,Agatti Airport (~200 km away; boat/ship required),Accessible during daytime by ship/ferry,Entry permit required (Not documented),October – April,Ships & ferries connect Andrott with Kochi and other islands,Available with local packages,Near jetty,"Lodges, shops, local restaurants",Houses tomb of Saint Ubaidullah; strong Buddhist history; rich marine life.
Kalpeni Island,Lagoon / Beach / Water Sports Destination,https://lakshadweep.gov.in/islands/kalpeni/,https://en.wikipedia.org/wiki/Kalpeni,None; Kochi (~400 km + sea transfer),Not applicable,No metro available,Agatti Airport (~75 km by sea),Day visits & overnight stays permitted,Entry permit required; package charges vary,"October – March (calm sea, pleasant weather)",Ships from Kochi; ferries between islands,Yes — water sports & local tours,Limited near jetty,"Resorts, homestays, shops, eateries","Known for snorkeling, kayaking, glass-bottom boat rides; unique coral debris called Cheriyam Pitti."
"Cheriyam Island (part of Kalpeni Atoll, Lakshadweep)",Uninhabited Islet / Eco-Tourism Spot,Not documented,Not documented,None; Kochi (~400 km + transfer),Not applicable,No metro available,Agatti Airport (~70 km away + boat),Day trips only,Included in permits & tour packages,November – February (ideal for clear waters),Accessible via boats from Kalpeni,Only through local boat operators,Not applicable,None — carry essentials,"Known for white sandy beaches, nesting seabirds, and peaceful solitude."
"Pitti Island (Lakshadweep, near Kalpeni)",Uninhabited Bird Sanctuary / Diving Spot,Not documented,https://en.wikipedia.org/wiki/Pitti_Island,None; Kochi (~400 km + transfer),Not applicable,No metro available,Agatti Airport (~70 km away + sea transfer),Daytime access only,Permit required (Not documented),October – April,Boats from Kalpeni,Limited; only with permission,Not applicable,None,"Declared bird sanctuary; nesting site for terns, turtles, and rare migratory species."
"Kalpitti Island (near Kavaratti, Lakshadweep)",Uninhabited Islet / Nature Spot,Not documented,Not documented,None; Kochi (~400 km + transfer),Not applicable,No metro available,Agatti Airport (~20 km by boat),Day trips only,Included in Kavaratti permits,October – March,Boats from Kavaratti,Yes — small trips arranged locally,Not applicable,Resorts & shops in Kavaratti,"Famous for secluded beaches, picnic spots, dolphin sightings."
Perumal Par,Atoll / Diving & Fishing Spot,Not documented,https://en.wikipedia.org/wiki/Perumal_Par,None; Kochi (~400 km + transfer),Not applicable,No metro available,Agatti Airport (~100 km by sea),Seasonal visits only,Permit required (Not documented),November – March,Special boat trips from Agatti/Kavaratti,Available with diving/fishing operators,Not applicable,None — remote island,"Famous for deep-sea fishing, coral reefs, and snorkeling adventures."
