Name of Place,Location,Type,Official Website,Wikipedia,Nearest Railway Station,Distance (Railway),Nearest Bus Stand,Distance (Bus Stand),Nearest Metro Station,Nearest Airport,Distance (Airport),Timings,Entry Fee,Best Time to Visit,Accessibility,Guided Tours,Parking,Nearby Amenities,Special Notes
Humayun’s Tomb,Nizamuddin / Mathura Road (National Capital Territory of Delhi),Historical Monument / UNESCO World Heritage Site,Humayun’s Tomb - ASI,Humayun’s Tomb - Wikipedia,Hazrat Nizamuddin Railway Station,approx. 2 km,Nizamuddin Bus Stop,approx. 1 km,JLN Stadium Metro Station (Violet Line),Indira Gandhi International Airport,approx. 17 km,Sunrise to 7:30 PM daily,"Indian Visitors ~₹35, Foreign Visitors ~₹550–₹600; photography fees may apply",October–March,Garden pathways partially wheelchair-friendly; some uneven heritage paths,Local guides available; ASI signage and audio guides available,Nearby parking at Nizamuddin / Mathura Road,"Cafes, Nizamuddin Dargah precincts, restrooms, small shops",Mughal architecture precursor to Taj Mahal; UNESCO World Heritage Site; large gardens and tomb complexes
Lotus Temple (Bahá'í House of Worship),Kalkaji / Bahapur (National Capital Territory of Delhi),Religious / Temple / Architectural Attraction,Lotus Temple Official,Lotus Temple - Wikipedia,Hazrat Nizamuddin Railway Station,approx. 9 km,Kalkaji Bus Stop,approx. 500 m,Kalkaji Mandir Metro Station (Violet Line),Indira Gandhi International Airport,approx. 17 km,8:30 AM – 6:00 PM (Tuesday–Sunday; check official site for seasonal updates),Free,October–March,Wheelchair-friendly; garden pathways and meditation hall accessible,Volunteer staff explain visitor etiquette; formal guided tours generally not conducted inside the hall,Onsite/nearby parking,"Gardens, small cafes nearby, restrooms",Famous lotus-shaped architecture; open to people of all religions; photography and silence etiquette enforced
Jama Masjid,Old Delhi (National Capital Territory of Delhi),Religious / Mosque / Historical Monument,Not documented,Jama Masjid - Wikipedia,Old Delhi Railway Station,approx. 1.5 km,Chandni Chowk Bus Stop,approx. 1 km,Jama Masjid Metro Station (Heritage/Local),Indira Gandhi International Airport,approx. 20 km,7:00 AM – 12:00 PM & 1:30 PM – 6:30 PM (visiting outside prayer hours),Free (dress code mandatory),October–March,Stone steps; not fully wheelchair-friendly,Local guides available (English/Hindi),Very limited; use nearby paid parking at Chandni Chowk,"Famous street food (parathas, kebabs), markets (Chandni Chowk), shops, restrooms",One of India’s largest mosques; access restricted during prayer times and festivals
Chandni Chowk,Old Delhi Market & Heritage Area (National Capital Territory of Delhi),Market / Heritage Street / Food District,Not documented,Chandni Chowk - Wikipedia,Old Delhi Railway Station,approx. 1 km,Chandni Chowk Bus Stop,approx. 0.5 km,Chandni Chowk Metro Station (Yellow Line),Indira Gandhi International Airport,approx. 20 km,10:00 AM – 8:00 PM (varies; some early morning shops open),Free,October–March,Narrow lanes; not wheelchair-friendly in many parts; crowded,Heritage walks and food walks available (English/Hindi),Limited; park in nearby lots and walk,"Eateries, sweet shops, jewelry and textile shops, restrooms",Historic market near Red Fort & Jama Masjid; famous for street food and traditional shops
Connaught Place (Rajiv Chowk),Central Delhi (National Capital Territory of Delhi),Commercial Hub / Colonial Era Circle / Entertainment District,Not documented,Connaught Place - Wikipedia,New Delhi Railway Station,approx. 3 km,Connaught Place Bus Stand,approx. 0.5 km,Rajiv Chowk Metro Station (Blue & Yellow Lines),Indira Gandhi International Airport,approx. 16 km,Shops typically 10:00 AM – 10:00 PM,Free,October–March,Wheelchair-friendly in most areas; well-paved roads and pedestrian zones,Heritage walks and city tours include Connaught Place,Paid parking available,"Restaurants, cafes, pubs, shops, hotels, banks, restrooms",Iconic colonial-era commercial center; nightlife and shopping hub; cultural events occasionally
Akshardham Temple,Noida / East Delhi (National Capital Territory of Delhi),Religious / Temple / Cultural / Architectural Attraction,Akshardham Temple Official,Akshardham Temple - Wikipedia,New Delhi Railway Station,approx. 12 km,Akshardham Bus Terminal,approx. 0.5 km,Akshardham Metro Station (Blue Line),Indira Gandhi International Airport,approx. 17 km,9:30 AM – 6:30 PM (closed on Mondays),Free entry; exhibitions and boat ride charges vary (~₹100–₹150),October–March,Wheelchair-friendly; well-maintained paths,Available in multiple languages; audio guides and volunteer guides,Large onsite parking,"Cafes, souvenir shops, restrooms","Famous for intricate carvings, exhibitions, Yagnapurush Kund, and boat ride; evening fountain show"
Raj Ghat,Central Delhi (National Capital Territory of Delhi),Memorial / Historical / Open Monument,Raj Ghat - Delhi Tourism,Raj Ghat - Wikipedia,New Delhi Railway Station,approx. 5 km,Delhi Gate / Old Delhi Bus Stop,approx. 3 km,ITO Metro Station,Indira Gandhi International Airport,approx. 20 km,6:00 AM – 6:00 PM (all days),Free,October–March,Wheelchair-friendly; paved gardens,Local guides available; informative plaques onsite,Limited parking,Cafes/restrooms nearby; souvenir stalls,Memorial of Mahatma Gandhi; tranquil garden setting; floral tributes common
Rashtrapati Bhavan & Mughal Gardens,Central Delhi (National Capital Territory of Delhi),Government Residence / Historical Monument / Gardens,Rashtrapati Bhavan,Rashtrapati Bhavan - Wikipedia,New Delhi Railway Station,approx. 5 km,Secretariat / Central Secretariat Bus Stops,approx. 1–2 km,Central Secretariat Metro Station (Yellow & Violet Lines),Indira Gandhi International Airport,approx. 16 km,"Mughal Gardens open during March–April (spring season), 9:00 AM – 4:00 PM",Free; guided tours for residence require prior booking,March–April,Gardens partially wheelchair-friendly; guided tour routes manageable,Prior booking needed for inside Rashtrapati Bhavan; guided garden tours available,Limited onsite parking during garden open days,Cafes/restrooms at designated spots; shops Not documented,Presidential residence; Mughal Gardens seasonal access; Indo-Saracenic architecture
Garden of Five Senses,Saidul Ajaib / Mehrauli (National Capital Territory of Delhi),Park / Eco-tourism / Recreational / Cultural Space,Garden of Five Senses,Garden of Five Senses - Wikipedia,Hazrat Nizamuddin Railway Station,approx. 7 km,Mehrauli Bus Stop,approx. 1 km,Saket Metro Station,Indira Gandhi International Airport,approx. 20 km,9:00 AM – 7:00 PM,~₹30–₹50 (adults; children may have discounted rates),October–March,Wheelchair-friendly; well-maintained paved paths,Available on request; photography and nature walks encouraged,Onsite parking available,"Cafes, restrooms, small shops","Includes themed gardens, cultural exhibits, sculptures, and fountains; ideal for nature photography and leisure"
Lodhi Garden,New Delhi (National Capital Territory of Delhi),Park / Heritage Site,Not documented,Lodhi Garden - Wikipedia,Hazrat Nizamuddin Railway Station,approx. 2 km,Lodhi Road Bus Stop,approx. 1 km,Khan Market Metro Station (Violet Line),Indira Gandhi International Airport,approx. 22 km,5:00 AM – 7:30 PM (daily),Free,October–March,Wheelchair-friendly; well-maintained pathways; popular for morning walks and jogs,Not documented,Limited parking available nearby,"Cafes, restaurants, restrooms, Khan Market shopping area","Spread over 90 acres, the garden houses tombs from the Sayyid and Lodi dynasties, including Sikandar Lodi's tomb and the Bara Gumbad mosque."
National Rail Museum,Chanakyapuri (National Capital Territory of Delhi),Museum / Heritage Site,National Rail Museum,National Rail Museum - Wikipedia,New Delhi Railway Station,approx. 7 km,Chanakyapuri Bus Stop,approx. 1 km,Lok Kalyan Marg Metro Station (Yellow Line),Indira Gandhi International Airport,approx. 14 km,9:30 AM – 5:30 PM (closed on Mondays),₹50 (adults); ₹100 (weekends),October–March,Wheelchair-friendly; interactive exhibits suitable for all ages,Available; audio guides and guided tours in multiple languages,Ample parking space available,"Cafes, souvenir shops, restrooms","The museum showcases India's railway heritage, featuring vintage locomotives, royal coaches, and interactive displays."
National Science Centre,Pragati Maidan (National Capital Territory of Delhi),Science Museum / Educational Centre,National Science Centre,National Science Centre - Wikipedia,New Delhi Railway Station,approx. 3 km,Pragati Maidan Bus Stop,approx. 0.5 km,Pragati Maidan Metro Station (Blue Line),Indira Gandhi International Airport,approx. 18 km,10:00 AM – 5:00 PM (closed on Holi and Diwali),₹50–₹100 (varies by exhibition),Throughout the year,Fully wheelchair-accessible; interactive and engaging exhibits for children and adults,Available; educational programs and workshops conducted regularly,Limited parking available,"Cafes, restaurants, restrooms","The centre features a wide range of exhibits on science and technology, including a 3D theatre and interactive displays."
Hauz Khas Village,Hauz Khas (National Capital Territory of Delhi),Heritage Village / Cultural Hub,Not documented,Hauz Khas Village - Wikipedia,Hazrat Nizamuddin Railway Station,approx. 4 km,Hauz Khas Bus Stop,approx. 0.5 km,Hauz Khas Metro Station (Yellow Line),Indira Gandhi International Airport,approx. 15 km,Shops and cafes typically open from 10:00 AM – 10:00 PM,Free,October–March,Partially wheelchair-accessible; cobblestone streets may be challenging,Not documented,Limited parking available,"Boutiques, art galleries, cafes, restaurants, restrooms","A blend of medieval history and modern culture, featuring a historic water tank, Islamic monuments, and a vibrant urban village atmosphere."
Safdarjung Tomb,New Delhi (National Capital Territory of Delhi),Historical Monument / Tomb,Not documented,Safdarjung Tomb - Wikipedia,Hazrat Nizamuddin Railway Station,approx. 5 km,Safdarjung Bus Stop,approx. 0.5 km,Jor Bagh Metro Station (Yellow Line),Indira Gandhi International Airport,approx. 13 km,Sunrise to Sunset (daily),₹25 (Indians); ₹300 (foreigners),October–March,Wheelchair-friendly; well-maintained pathways,Not documented,Limited parking available,"Cafes, restaurants, restrooms","A late Mughal architecture marvel, often referred to as a 'mini Taj Mahal,' built in 1754 for Nawab Safdarjung."
St. James' Church,Kashmere Gate (National Capital Territory of Delhi),Heritage Church / Religious Site,St. James' Church Official,St. James' Church - Wikipedia,Kashmere Gate Railway Station,approx. 1 km,Kashmere Gate Bus Stop,approx. 0.5 km,"Kashmere Gate Metro Station (Red, Yellow & Violet Lines)",Indira Gandhi International Airport,approx. 25 km,Sunday services: Winter 9:00 AM; Summer 8:30 AM; open for visitors on weekdays 9:00 AM – 5:00 PM,Free,Throughout the year,Wheelchair-accessible; well-maintained interiors; colonial-era architecture with pews and high ceilings,Not documented; local guides sometimes available for historical insights,Limited parking available nearby,Cafes and eateries in the surrounding Kashmere Gate area; restrooms nearby; souvenir shops limited,"One of the oldest churches in Delhi, built in 1826; known as the 'Skinner’s Church' (after Colonel James Skinner); British-era colonial architecture; peaceful site amidst busy city traffic; ideal for photography and historical interest."
Jantar Mantar,Connaught Place (National Capital Territory of Delhi),Historical Monument / Observatory,Not documented,"Jantar Mantar, Delhi - Wikipedia",New Delhi Railway Station,approx. 3 km,Connaught Place Bus Stop,approx. 1 km,Rajiv Chowk Metro Station (Yellow & Blue Lines),Indira Gandhi International Airport,approx. 16 km,9:00 AM – 5:00 PM (daily),Indian Visitors ~₹10; Foreign Visitors ~₹200,October–March,Partially wheelchair-friendly; some structures have steep steps,Local guides available in English/Hindi,Limited nearby paid parking,"Restaurants, cafes, shops, restrooms",Built in 1724 by Maharaja Jai Singh II; collection of architectural astronomical instruments.
Purana Qila (Old Fort),Mathura Road / Pragati Maidan (National Capital Territory of Delhi),Historical Monument / Fort,ASI Purana Qila,Purana Qila - Wikipedia,Pragati Maidan Railway Station,approx. 2 km,Purana Qila Bus Stop,approx. 0.5 km,Pragati Maidan Metro Station (Blue Line),Indira Gandhi International Airport,approx. 18 km,7:00 AM – 5:00 PM (daily),Indian Visitors ~₹30; Foreign Visitors ~₹500,October–March,Garden pathways mostly accessible; some uneven stone areas,Local guides available; heritage walks sometimes organized,Limited onsite parking,"Cafes, souvenir shops, restrooms",One of Delhi’s oldest forts; museum inside; hosts cultural events and sound-light shows.
Nehru Planetarium,Teen Murti Bhavan (National Capital Territory of Delhi),Science / Educational / Planetarium,Nehru Planetarium Delhi,Nehru Planetarium - Wikipedia,New Delhi Railway Station,approx. 5 km,Teen Murti Bhavan Bus Stop,approx. 0.5 km,Lok Kalyan Marg Metro Station (Yellow Line),Indira Gandhi International Airport,approx. 16 km,"10:00 AM – 5:00 PM (shows at 11:00 AM, 2:00 PM, 4:00 PM)",₹40–₹50 (per show; adults),October–March,Wheelchair-friendly; indoor facilities accessible,Staff explain exhibits; shows available in English/Hindi,Limited onsite parking,"Cafes, restrooms, small gift shops",Educational center for astronomy and space science; planetarium shows popular for students and tourists.
Dilli Haat,INA / Pitampura (National Capital Territory of Delhi),Market / Cultural & Handicraft Hub / Food Court,Delhi Haat Official,Dilli Haat - Wikipedia,INA Railway Station,approx. 1 km for INA Haat,INA Bus Stop,approx. 0.5 km,INA Metro Station (Yellow Line),Indira Gandhi International Airport,approx. 17 km,10:30 AM – 10:00 PM (daily),₹30 per person,October–March,Wheelchair-friendly; open-air bazaar with paved pathways,Not documented,Ample onsite parking,"Restaurants, cafes, handicraft shops, restrooms",Traditional crafts and cuisines from all Indian states; cultural performances frequently held.
Rajpath & India Gate Boulevard,Central Delhi (National Capital Territory of Delhi),Boulevard / Heritage Walk / National Landmark,Not documented,Rajpath - Wikipedia,New Delhi Railway Station,approx. 4 km,Secretariat / Janpath Bus Stops,approx. 1–2 km,Central Secretariat / Patel Chowk Metro Station,Indira Gandhi International Airport,approx. 13 km,Open 24/7; best visited 5 AM – 9 PM,Free,October–March,Wheelchair-friendly; wide boulevards and lawns,Heritage and city tours include Rajpath,Limited paid parking nearby,"Cafes, restaurants, restrooms, souvenir stalls","Home to official parades, India Gate, and Rashtrapati Bhavan view; ideal for morning/evening walks and photography."
Rashtrapati Bhavan Museum & Mughal Gardens,Central Delhi (National Capital Territory of Delhi),Government Residence / Museum / Heritage Site,Rashtrapati Bhavan Official,Rashtrapati Bhavan - Wikipedia,New Delhi Railway Station,approx. 5 km,Secretariat / Central Secretariat Bus Stops,approx. 1–2 km,Central Secretariat Metro Station (Yellow & Violet Lines),Indira Gandhi International Airport,approx. 16 km,"Mughal Gardens open during March–April, 9:00 AM – 4:00 PM; Museum tours require prior booking",Free; guided tours of residence require prior booking,March–April,Gardens partially wheelchair-friendly; guided tour routes manageable,Available with prior booking,Limited onsite parking during garden open days,Cafes/restrooms at designated spots; souvenir shops Not documented,Presidential residence; showcases colonial and Mughal architecture; Mughal Gardens seasonal access.
Agrasen ki Baoli,Connaught Place (National Capital Territory of Delhi),Historical Monument / Stepwell,Not documented,Agrasen ki Baoli - Wikipedia,New Delhi Railway Station,approx. 2 km,Janpath / Connaught Place Bus Stop,approx. 0.5 km,Rajiv Chowk Metro Station (Yellow & Blue Lines),Indira Gandhi International Airport,approx. 16 km,9:00 AM – 5:00 PM (daily),Free,October–March,Not fully wheelchair-accessible; stone steps and narrow spaces,Local guides available; photography tours sometimes organized,Limited nearby parking,"Cafes, restaurants, Connaught Place shopping area",14th-century stepwell; historic water conservation structure; popular with photographers and history enthusiasts.
Tughlaqabad Fort,Mehrauli / South Delhi (National Capital Territory of Delhi),Historical Monument / Fort,Not documented,Tughlaqabad Fort - Wikipedia,Tughlakabad Railway Station,approx. 3 km,Tughlakabad Bus Stop,approx. 1 km,Tughlakabad Metro Station (Violet Line),Indira Gandhi International Airport,approx. 22 km,Sunrise to Sunset (daily),Free,October–March,Steep terrain; not wheelchair-friendly; trekking difficulty moderate,Local guides sometimes available; history tours possible,Limited parking near the entrance,Minimal amenities; bring water and snacks,14th-century fort built by Ghiyas-ud-din Tughlaq; large ruins on a hill; offers panoramic views of Delhi; popular for history and photography enthusiasts.
